"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"   15.0","42475.0","11417.0","10206.2"," 1809.0","   63.0","   18.0","  311.0"," 1312.0"," 1927.0"," 3166.0"," 4617.0","   32.0","   10.0","  189.0","  774.0"," 1137.0"," 1688.0"," 1789.0","   31.0","    8.0","  122.0","  538.0","  790.0"," 1478.0"," 2828.0","  594.0"," 1572.0"," 1105.0","  900.0"," 1183.0"," 1217.0"," 1007.0"," 1785.0"," 1282.0","  738.0"
"   16.0","42482.0","10925.0","10104.8"," 1597.0","   65.0","   24.0","  319.0"," 1292.0"," 1816.0"," 3085.0"," 4324.0","   40.0","   15.0","  208.0","  766.0"," 1039.0"," 1613.0"," 1647.0","   25.0","    9.0","  111.0","  526.0","  777.0"," 1472.0"," 2677.0","  539.0"," 1470.0"," 1008.0","  908.0"," 1134.0"," 1189.0","  999.0"," 1683.0"," 1250.0","  714.0"
"   17.0","42489.0","10413.0"," 9776.6"," 1396.0","   43.0","   22.0","  327.0"," 1301.0"," 1694.0"," 2927.0"," 4098.0","   22.0","   14.0","  212.0","  792.0"," 1003.0"," 1534.0"," 1548.0","   21.0","    8.0","  115.0","  509.0","  691.0"," 1393.0"," 2550.0","  571.0"," 1371.0"," 1014.0","  857.0"," 1065.0"," 1147.0","  969.0"," 1634.0"," 1128.0","  629.0"
"   18.0","42496.0"," 9137.0","10127.8"," 1261.0","   55.0","   23.0","  348.0"," 1075.0"," 1490.0"," 2583.0"," 3559.0","   34.0","   15.0","  249.0","  629.0","  870.0"," 1410.0"," 1367.0","   21.0","    8.0","   99.0","  446.0","  620.0"," 1173.0"," 2192.0","  495.0"," 1280.0","  941.0","  703.0","  929.0","  954.0","  876.0"," 1365.0","  994.0","  569.0"
"   19.0","42503.0","10637.0"," 9058.4"," 1447.0","   49.0","   19.0","  308.0"," 1277.0"," 1768.0"," 2994.0"," 4218.0","   36.0","    5.0","  195.0","  743.0"," 1057.0"," 1563.0"," 1673.0","   13.0","   14.0","  113.0","  534.0","  711.0"," 1431.0"," 2545.0","  547.0"," 1420.0"," 1055.0","  914.0"," 1069.0"," 1190.0","  971.0"," 1646.0"," 1143.0","  652.0"
"   20.0","42510.0"," 9953.0"," 9699.2"," 1328.0","   61.0","   21.0","  328.0"," 1149.0"," 1686.0"," 2855.0"," 3853.0","   34.0","   12.0","  209.0","  687.0","  960.0"," 1532.0"," 1464.0","   27.0","    9.0","  119.0","  462.0","  726.0"," 1323.0"," 2389.0","  533.0"," 1327.0","  927.0","  862.0"," 1013.0"," 1147.0","  884.0"," 1534.0"," 1092.0","  611.0"
"   21","42517"," 9739"," 9524"," 1248","   63","   19","  326"," 1185"," 1681"," 2697"," 3767","   36","   10","  205","  716","  957"," 1441"," 1417","   27","    9","  121","  469","  724"," 1256"," 2350","  484"," 1300","  936","  826","  995"," 1103","  884"," 1489"," 1082","  624"
"   22.0","42524.0"," 7909.0"," 8417.2","  982.0","   35.0","   19.0","  214.0","  963.0"," 1445.0"," 2253.0"," 2980.0","   16.0","    9.0","  128.0","  546.0","  827.0"," 1188.0"," 1180.0","   19.0","   10.0","   86.0","  417.0","  618.0"," 1065.0"," 1800.0","  431.0"," 1138.0","  814.0","  680.0","  776.0","  790.0","  710.0"," 1242.0","  817.0","  500.0"
"   23.0","42531.0"," 9873.0"," 9047.2"," 1292.0","   58.0","   21.0","  268.0"," 1181.0"," 1613.0"," 2875.0"," 3857.0","   28.0","   10.0","  167.0","  694.0","  923.0"," 1535.0"," 1466.0","   30.0","   11.0","  101.0","  487.0","  690.0"," 1340.0"," 2391.0","  542.0"," 1306.0"," 1038.0","  839.0"," 1011.0"," 1119.0","  939.0"," 1468.0"," 1004.0","  584.0"
"   24.0","42538.0"," 9386.0"," 9388.4"," 1225.0","   49.0","   22.0","  255.0"," 1195.0"," 1604.0"," 2703.0"," 3556.0","   28.0","   13.0","  174.0","  725.0","  931.0"," 1463.0"," 1367.0","   21.0","    9.0","   81.0","  470.0","  673.0"," 1240.0"," 2189.0","  473.0"," 1252.0","  923.0","  858.0","  981.0"," 1037.0","  858.0"," 1410.0","  993.0","  578.0"
"   25","42545"," 9365"," 8986"," 1206","   57","   15","  295"," 1161"," 1549"," 2659"," 3625","   29","    9","  192","  675","  909"," 1443"," 1454","   28","    6","  103","  486","  640"," 1216"," 2171","  528"," 1272","  925","  804"," 1015","  966","  831"," 1408"," 1039","  558"
"   26","42552"," 9228"," 8852"," 1106","   46","   13","  303"," 1192"," 1570"," 2573"," 3530","   26","    9","  204","  701","  897"," 1369"," 1280","   20","    4","   99","  491","  673"," 1204"," 2250","  488"," 1157","  936","  801","  954","  971","  880"," 1497","  964","  549"
"   27.0","42559.0"," 9138.0"," 8872.2"," 1062.0","   49.0","   18.0","  287.0"," 1176.0"," 1552.0"," 2567.0"," 3489.0","   30.0","    9.0","  175.0","  698.0","  917.0"," 1359.0"," 1334.0","   19.0","    9.0","  112.0","  478.0","  635.0"," 1208.0"," 2155.0","  507.0"," 1269.0","  910.0","  770.0","  956.0","  950.0","  796.0"," 1407.0"," 1031.0","  524.0"
"   28.0","42566.0"," 9388.0"," 8706.8"," 1101.0","   54.0","   15.0","  279.0"," 1153.0"," 1634.0"," 2649.0"," 3603.0","   33.0","    8.0","  186.0","  683.0","  964.0"," 1395.0"," 1336.0","   21.0","    7.0","   93.0","  470.0","  670.0"," 1254.0"," 2267.0","  485.0"," 1242.0","  948.0","  784.0","  943.0"," 1054.0","  798.0"," 1463.0"," 1052.0","  599.0"
"   29.0","42573.0"," 9350.0"," 8776.2"," 1168.0","   55.0","   18.0","  282.0"," 1115.0"," 1586.0"," 2638.0"," 3650.0","   37.0","    9.0","  192.0","  667.0","  936.0"," 1459.0"," 1414.0","   18.0","    9.0","   90.0","  448.0","  650.0"," 1179.0"," 2236.0","  538.0"," 1295.0","  877.0","  830.0","  914.0","  988.0","  847.0"," 1443.0"," 1023.0","  560.0"
"   30.0","42580.0"," 9335.0"," 8712.2"," 1190.0","   39.0","   15.0","  312.0"," 1074.0"," 1567.0"," 2641.0"," 3683.0","   20.0","    8.0","  203.0","  630.0","  924.0"," 1433.0"," 1389.0","   19.0","    7.0","  109.0","  444.0","  643.0"," 1208.0"," 2294.0","  476.0"," 1223.0","  910.0","  762.0","  923.0"," 1013.0","  940.0"," 1414.0"," 1027.0","  610.0"
"   31.0","42587.0"," 9182.0"," 8682.6"," 1112.0","   56.0","   19.0","  276.0"," 1171.0"," 1542.0"," 2588.0"," 3524.0","   29.0","   11.0","  187.0","  690.0","  923.0"," 1416.0"," 1302.0","   27.0","    8.0","   89.0","  481.0","  619.0"," 1172.0"," 2222.0","  467.0"," 1316.0","  879.0","  739.0","  983.0"," 1004.0","  822.0"," 1311.0"," 1052.0","  580.0"
"   32.0","42594.0"," 9172.0"," 8651.4"," 1065.0","   57.0","   15.0","  277.0"," 1183.0"," 1552.0"," 2557.0"," 3520.0","   37.0","    9.0","  172.0","  738.0","  902.0"," 1364.0"," 1288.0","   20.0","    6.0","  105.0","  445.0","  650.0"," 1193.0"," 2232.0","  492.0"," 1244.0","  886.0","  780.0","  941.0"," 1031.0","  801.0"," 1346.0","  974.0","  641.0"
"   33.0","42601.0"," 9070.0"," 8671.8"," 1032.0","   42.0","   17.0","  276.0"," 1078.0"," 1610.0"," 2624.0"," 3423.0","   26.0","   10.0","  191.0","  653.0","  946.0"," 1383.0"," 1324.0","   16.0","    7.0","   85.0","  425.0","  664.0"," 1241.0"," 2099.0","  476.0"," 1279.0","  887.0","  742.0","  951.0"," 1005.0","  831.0"," 1317.0","  983.0","  574.0"
"   34.0","42608.0"," 9319.0"," 8783.4"," 1093.0","   48.0","   16.0","  241.0"," 1104.0"," 1577.0"," 2680.0"," 3652.0","   23.0","    4.0","  157.0","  699.0","  899.0"," 1480.0"," 1395.0","   25.0","   12.0","   84.0","  405.0","  678.0"," 1200.0"," 2257.0","  499.0"," 1250.0","  860.0","  793.0"," 1039.0","  991.0","  822.0"," 1419.0"," 1000.0","  619.0"
"   35","42615"," 7923"," 8020","  917","   43","   14","  228","  968"," 1415"," 2233"," 3020","   21","    9","  135","  564","  825"," 1204"," 1196","   22","    5","   93","  404","  590"," 1029"," 1824","  398"," 1114","  800","  626","  764","  877","  795"," 1251","  797","  470"
"   36.0","42622.0"," 9399.0"," 8813.2"," 1036.0","   48.0","   23.0","  283.0"," 1161.0"," 1562.0"," 2659.0"," 3661.0","   30.0","   17.0","  185.0","  710.0","  944.0"," 1398.0"," 1345.0","   18.0","    6.0","   98.0","  451.0","  618.0"," 1261.0"," 2316.0","  478.0"," 1312.0","  942.0","  844.0","  974.0","  981.0","  873.0"," 1384.0"," 1033.0","  552.0"
"   37.0","42629.0"," 9124.0"," 8825.8"," 1027.0","   56.0","   15.0","  265.0"," 1170.0"," 1583.0"," 2628.0"," 3406.0","   27.0","    6.0","  153.0","  690.0","  900.0"," 1397.0"," 1338.0","   29.0","    9.0","  112.0","  480.0","  683.0"," 1231.0"," 2068.0","  491.0"," 1222.0","  914.0","  736.0","  898.0","  998.0","  839.0"," 1433.0","  988.0","  576.0"
"   38.0","42636.0"," 8945.0"," 8839.4"," 1039.0","   58.0","   15.0","  264.0"," 1132.0"," 1548.0"," 2564.0"," 3364.0","   30.0","   11.0","  173.0","  670.0","  910.0"," 1404.0"," 1251.0","   28.0","    4.0","   91.0","  462.0","  638.0"," 1160.0"," 2113.0","  435.0"," 1230.0","  890.0","  730.0","  892.0","  979.0","  854.0"," 1399.0","  941.0","  563.0"
"   39.0","42643.0"," 8994.0"," 9105.6","  979.0","   53.0","   15.0","  297.0"," 1151.0"," 1549.0"," 2506.0"," 3422.0","   22.0","    7.0","  194.0","  697.0","  925.0"," 1327.0"," 1350.0","   31.0","    8.0","  103.0","  454.0","  624.0"," 1179.0"," 2072.0","  481.0"," 1219.0","  856.0","  787.0","  971.0","  879.0","  852.0"," 1345.0","  987.0","  592.0"
"   40.0","42650.0"," 9291.0"," 9133.2"," 1060.0","   57.0","   21.0","  275.0"," 1115.0"," 1647.0"," 2641.0"," 3531.0","   30.0","    8.0","  176.0","  637.0","  992.0"," 1385.0"," 1381.0","   27.0","   13.0","   99.0","  478.0","  655.0"," 1256.0"," 2150.0","  465.0"," 1331.0","  907.0","  777.0","  938.0","  945.0","  863.0"," 1456.0"," 1024.0","  562.0"
"   41","42657"," 9719"," 9210"," 1153","   72","   14","  272"," 1145"," 1633"," 2746"," 3835","   41","    6","  183","  674","  961"," 1444"," 1508","   31","    8","   89","  471","  672"," 1302"," 2327","  520"," 1328","  940","  791","  966"," 1069","  919"," 1524"," 1056","  587"
"   42.0","42664.0"," 9768.0"," 9225.6"," 1238.0","   50.0","   21.0","  276.0"," 1158.0"," 1652.0"," 2724.0"," 3887.0","   25.0","    9.0","  178.0","  687.0","  965.0"," 1485.0"," 1488.0","   25.0","   12.0","   98.0","  471.0","  687.0"," 1239.0"," 2399.0","  511.0"," 1322.0","  919.0","  831.0","  977.0"," 1020.0","  931.0"," 1542.0"," 1078.0","  624.0"
"   43.0","42671.0"," 9724.0"," 9445.4"," 1270.0","   58.0","   16.0","  271.0"," 1239.0"," 1567.0"," 2800.0"," 3773.0","   25.0","   11.0","  170.0","  741.0","  908.0"," 1494.0"," 1472.0","   33.0","    5.0","  101.0","  498.0","  659.0"," 1306.0"," 2301.0","  530.0"," 1401.0","  914.0","  850.0","  966.0"," 1034.0","  860.0"," 1472.0"," 1043.0","  624.0"
"   44","42678","10152"," 9459"," 1276","   52","   21","  281"," 1186"," 1723"," 2833"," 4056","   31","   11","  188","  670"," 1011"," 1451"," 1598","   21","   10","   93","  516","  712"," 1382"," 2458","  535"," 1351"," 1041","  850"," 1013"," 1048","  904"," 1630"," 1114","  644"
"   45.0","42685.0","10470.0"," 9584.8"," 1342.0","   54.0","   15.0","  278.0"," 1279.0"," 1709.0"," 2954.0"," 4178.0","   28.0","    6.0","  187.0","  730.0"," 1021.0"," 1576.0"," 1565.0","   26.0","    9.0","   91.0","  549.0","  688.0"," 1378.0"," 2613.0","  546.0"," 1390.0"," 1017.0","  889.0"," 1045.0"," 1127.0","  976.0"," 1691.0"," 1139.0","  626.0"
"   46.0","42692.0","10694.0"," 9751.4"," 1374.0","   57.0","   26.0","  355.0"," 1225.0"," 1703.0"," 2992.0"," 4332.0","   31.0","   18.0","  250.0","  709.0"," 1001.0"," 1566.0"," 1730.0","   26.0","    8.0","  105.0","  516.0","  702.0"," 1426.0"," 2602.0","  547.0"," 1513.0"," 1025.0","  892.0"," 1117.0"," 1184.0","  941.0"," 1605.0"," 1154.0","  681.0"
"   47","42699","10603"," 9572"," 1413","   49","   26","  284"," 1226"," 1716"," 3062"," 4239","   27","   12","  174","  734"," 1013"," 1621"," 1616","   22","   14","  110","  492","  703"," 1441"," 2623","  536"," 1432"," 1022","  887"," 1090"," 1131","  987"," 1679"," 1154","  661"
"   48.0","42706.0","10439.0"," 9615.4"," 1371.0","   58.0","   15.0","  345.0"," 1191.0"," 1752.0"," 2961.0"," 4116.0","   35.0","    8.0","  225.0","  692.0","  984.0"," 1557.0"," 1574.0","   23.0","    7.0","  120.0","  499.0","  768.0"," 1404.0"," 2542.0","  550.0"," 1491.0","  973.0","  888.0"," 1076.0"," 1176.0","  936.0"," 1578.0"," 1112.0","  643.0"
"   49","42713","11223","10042"," 1591","   57","   28","  310"," 1266"," 1808"," 3176"," 4578","   29","   13","  202","  749"," 1019"," 1676"," 1738","   28","   15","  108","  517","  789"," 1500"," 2840","  589"," 1529"," 1193","  932"," 1164"," 1212"," 1029"," 1658"," 1201","  693"
"   50","42720","10533","10317"," 1522","   72","   22","  281"," 1219"," 1675"," 2943"," 4316","   36","   16","  180","  748","  979"," 1500"," 1595","   36","    6","  101","  471","  696"," 1443"," 2721","  561"," 1444"," 1036","  893"," 1098"," 1107","  933"," 1634"," 1145","  663"
"   51.0","42727.0","11493.0","11061.8"," 1640.0","   56.0","   16.0","  339.0"," 1253.0"," 1927.0"," 3170.0"," 4725.0","   30.0","    6.0","  218.0","  754.0"," 1057.0"," 1682.0"," 1796.0","   26.0","   10.0","  121.0","  499.0","  870.0"," 1488.0"," 2929.0","  679.0"," 1594.0"," 1097.0","  981.0"," 1149.0"," 1207.0"," 1052.0"," 1784.0"," 1223.0","  691.0"
"   52","42734"," 8003"," 7925"," 1312","   41","    7","  178","  849"," 1269"," 2294"," 3364","   24","    5","   99","  451","  738"," 1229"," 1288","   17","    2","   79","  398","  531"," 1065"," 2076","  456"," 1087","  794","  759","  715","  774","  761"," 1236","  846","  558"
