"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"   13","42825","10027"," 9863"," 1324","   65","   20","  307"," 1202"," 1656"," 2838"," 3939","   32","   12","  196","  705","  969"," 1519"," 1455","   33","    8","  111","  497","  687"," 1319"," 2484","  509"," 1313"," 1045","  870"," 1024"," 1109","  888"," 1520"," 1064","  658"
"   14","42832"," 9939","10001"," 1378","   59","   21","  277"," 1181"," 1705"," 2748"," 3947","   35","    8","  186","  701"," 1005"," 1491"," 1565","   24","   13","   91","  480","  700"," 1257"," 2382","  523"," 1373","  929","  835"," 1048"," 1056","  905"," 1522"," 1075","  642"
"   15","42839"," 8493","10624"," 1143","   38","   20","  235"," 1003"," 1468"," 2397"," 3330","   20","    8","  145","  634","  849"," 1255"," 1250","   18","   12","   90","  369","  619"," 1142"," 2080","  410"," 1217","  795","  708","  868","  918","  801"," 1316","  863","  577"
"   16","42846"," 9644","10625"," 1311","   68","   19","  280"," 1130"," 1585"," 2834"," 3721","   39","   13","  172","  658","  943"," 1529"," 1423","   29","    6","  108","  472","  642"," 1305"," 2298","  517"," 1362"," 1010","  812","  978","  996","  896"," 1409","  984","  654"
"   17","42853","10908","10246"," 1435","   70","   20","  273"," 1315"," 1822"," 3132"," 4276","   41","   10","  167","  784"," 1104"," 1687"," 1655","   29","   10","  106","  531","  718"," 1445"," 2621","  583"," 1495"," 1053","  882"," 1125"," 1137"," 1053"," 1678"," 1159","  727"
"   18","42860"," 9064"," 9984"," 1154","   44","   18","  268"," 1035"," 1529"," 2557"," 3613","   25","   11","  167","  648","  892"," 1345"," 1441","   19","    7","  101","  387","  637"," 1212"," 2172","  479"," 1279","  872","  803","  902","  956","  804"," 1356","  997","  600"
"   19","42867","10693"," 9158"," 1423","   41","   23","  323"," 1275"," 1813"," 3019"," 4196","   22","   11","  192","  752"," 1088"," 1631"," 1657","   19","   12","  131","  523","  725"," 1388"," 2539","  551"," 1368"," 1053","  988"," 1059"," 1153","  970"," 1685"," 1155","  687"
"   20","42874","10288"," 9902"," 1325","   38","   18","  291"," 1320"," 1794"," 2854"," 3973","   20","   10","  192","  787"," 1061"," 1506"," 1503","   18","    8","   99","  533","  733"," 1348"," 2470","  553"," 1329"," 1030","  817"," 1079"," 1124","  914"," 1639"," 1161","  615"
"   21","42881","10040"," 9640"," 1286","   71","   21","  307"," 1187"," 1722"," 2744"," 3983","   40","   10","  192","  737"," 1022"," 1448"," 1553","   31","   11","  115","  450","  700"," 1296"," 2430","  519"," 1349","  936","  802"," 1088"," 1118","  953"," 1526"," 1118","  602"
"   22","42888"," 8332"," 8417"," 1076","   49","   12","  223","  995"," 1475"," 2361"," 3217","   29","    9","  141","  604","  864"," 1260"," 1204","   20","    3","   82","  391","  611"," 1101"," 2013","  408"," 1208","  818","  726","  849","  813","  787"," 1217","  897","  586"
"   23","42895"," 9766"," 9170"," 1229","   57","   27","  308"," 1227"," 1632"," 2785"," 3727","   37","   20","  203","  746","  950"," 1486"," 1477","   20","    7","  105","  481","  682"," 1299"," 2250","  514"," 1311","  950","  841"," 1060"," 1016","  876"," 1527"," 1066","  584"
"   24","42902"," 9367"," 9473"," 1062","   60","   20","  259"," 1188"," 1663"," 2554"," 3619","   30","   12","  172","  726","  949"," 1372"," 1400","   30","    8","   87","  462","  714"," 1182"," 2219","  499"," 1272","  918","  819"," 1016","  990","  829"," 1380"," 1015","  599"
"   25","42909"," 9627"," 9117"," 1215","   65","   17","  300"," 1175"," 1570"," 2715"," 3785","   36","   12","  194","  698","  905"," 1490"," 1465","   29","    5","  106","  477","  665"," 1225"," 2320","  509"," 1328","  901","  841","  991","  991","  902"," 1473"," 1058","  608"
"   26","42916"," 9334"," 8956"," 1170","   54","   13","  275"," 1121"," 1656"," 2676"," 3536","   36","    7","  166","  672","  982"," 1405"," 1314","   18","    6","  109","  449","  674"," 1271"," 2222","  451"," 1174","  914","  804","  996"," 1028","  903"," 1456"," 1038","  546"
"   27","42923"," 9263"," 8959"," 1012","   60","   23","  293"," 1202"," 1622"," 2584"," 3477","   33","   15","  182","  731","  984"," 1397"," 1391","   27","    8","  111","  471","  638"," 1187"," 2086","  495"," 1278","  904","  802","  985"," 1010","  820"," 1395","  996","  556"
"   28","42930"," 9376"," 8893"," 1141","   56","   23","  270"," 1144"," 1660"," 2694"," 3528","   30","   11","  158","  690","  982"," 1446"," 1398","   26","   12","  112","  454","  678"," 1248"," 2130","  502"," 1225","  953","  862","  973"," 1005","  843"," 1393"," 1031","  564"
"   29","42937"," 9113"," 8946","  959","   64","   19","  331"," 1210"," 1541"," 2531"," 3415","   31","   12","  224","  727","  938"," 1331"," 1358","   33","    7","  107","  483","  603"," 1200"," 2057","  514"," 1196","  856","  809","  947","  970","  867"," 1389","  979","  551"
"   30","42944"," 8882"," 8889"," 1004","   37","   15","  280"," 1184"," 1539"," 2439"," 3388","   20","   10","  170","  704","  931"," 1289"," 1304","   17","    5","  110","  480","  608"," 1150"," 2084","  456"," 1174","  881","  738","  941","  949","  783"," 1381","  963","  586"
"   31","42951"," 8941"," 8762"," 1009","   47","   12","  269"," 1131"," 1510"," 2542"," 3427","   27","    6","  170","  700","  887"," 1356"," 1304","   20","    6","   99","  431","  623"," 1186"," 2123","  507"," 1192","  891","  784","  911","  955","  792"," 1345","  946","  590"
"   32","42958"," 9038"," 8772","  937","   55","   17","  257"," 1141"," 1580"," 2620"," 3368","   26","    8","  179","  685","  946"," 1393"," 1326","   29","    9","   78","  456","  634"," 1227"," 2042","  479"," 1171","  882","  772","  943"," 1005","  858"," 1346","  982","  572"
"   33","42965"," 9299"," 8802"," 1081","   50","   20","  293"," 1146"," 1568"," 2601"," 3617","   27","   11","  196","  678","  927"," 1381"," 1414","   23","    9","   97","  468","  641"," 1220"," 2203","  464"," 1260","  849","  747","  936"," 1018","  929"," 1481","  998","  592"
"   34","42972"," 9382"," 8953"," 1121","   51","   11","  286"," 1095"," 1549"," 2667"," 3723","   29","    9","  182","  665","  894"," 1439"," 1452","   22","    2","  104","  430","  655"," 1228"," 2271","  482"," 1299","  848","  783","  966"," 1002","  907"," 1502"," 1001","  570"
"   35","42979"," 8149"," 8062","  940","   45","   18","  211","  997"," 1448"," 2279"," 3148","   26","    6","  126","  611","  845"," 1222"," 1221","   19","   12","   85","  386","  603"," 1057"," 1927","  434"," 1117","  836","  667","  780","  853","  766"," 1205","  908","  555"
"   36","42986"," 9497"," 8940"," 1058","   53","   17","  273"," 1190"," 1613"," 2644"," 3703","   34","   11","  197","  690","  968"," 1432"," 1451","   19","    6","   76","  500","  645"," 1212"," 2252","  512"," 1307","  921","  808"," 1017"," 1066","  866"," 1445","  993","  542"
"   37","42993"," 9454"," 8929"," 1022","   48","   18","  277"," 1207"," 1641"," 2628"," 3634","   23","   12","  189","  707","  949"," 1432"," 1452","   25","    6","   88","  500","  692"," 1196"," 2182","  539"," 1285","  877","  758"," 1001","  990","  871"," 1493"," 1006","  609"
"   38","43000"," 9534"," 8923"," 1088","   49","   21","  294"," 1157"," 1614"," 2623"," 3776","   29","   13","  196","  694","  944"," 1426"," 1488","   20","    8","   98","  463","  670"," 1197"," 2288","  504"," 1221","  919","  814","  978"," 1096","  900"," 1422"," 1074","  585"
"   39","43007"," 9689"," 9120"," 1153","   45","   27","  243"," 1160"," 1686"," 2698"," 3830","   21","   16","  161","  669","  952"," 1438"," 1532","   24","   11","   82","  491","  734"," 1260"," 2298","  507"," 1305","  957","  782","  990"," 1071","  882"," 1468"," 1109","  593"
"   40","43014"," 9778"," 9248"," 1208","   66","   20","  284"," 1171"," 1677"," 2677"," 3881","   38","   10","  192","  672","  964"," 1403"," 1568","   28","   10","   92","  499","  713"," 1274"," 2313","  501"," 1289","  946","  818"," 1003"," 1057","  923"," 1521"," 1063","  631"
"   41","43021"," 9940"," 9411"," 1219","   48","   11","  245"," 1185"," 1678"," 2846"," 3926","   27","    5","  149","  706","  965"," 1534"," 1519","   21","    6","   96","  479","  713"," 1312"," 2407","  513"," 1340"," 1011","  827"," 1001"," 1085","  928"," 1497"," 1068","  640"
"   42","43028","10031"," 9452"," 1199","   62","   13","  293"," 1165"," 1731"," 2836"," 3929","   30","    7","  191","  717"," 1022"," 1504"," 1545","   32","    6","  102","  448","  709"," 1332"," 2384","  550"," 1359"," 1019","  806","  997"," 1056","  934"," 1541"," 1098","  650"
"   43","43035"," 9739"," 9563"," 1144","   54","   25","  269"," 1166"," 1658"," 2765"," 3802","   34","   14","  168","  712","  975"," 1452"," 1494","   20","   11","  101","  454","  683"," 1313"," 2308","  509"," 1375","  903","  743"," 1058"," 1037","  931"," 1539"," 1020","  608"
"   44","43042"," 9984"," 9562"," 1244","   40","   18","  288"," 1243"," 1659"," 2875"," 3860","   30","   14","  181","  737","  977"," 1563"," 1454","   10","    4","  107","  506","  682"," 1312"," 2406","  536"," 1356"," 1006","  850"," 1014"," 1129","  897"," 1473"," 1105","  595"
"   45","43049","10346"," 9871"," 1314","   47","   20","  322"," 1251"," 1734"," 2889"," 4081","   26","   14","  212","  736"," 1057"," 1583"," 1608","   21","    6","  110","  515","  677"," 1306"," 2473","  510"," 1365"," 1042","  931"," 1117"," 1132","  931"," 1572"," 1117","  598"
"   46","43056","10275","10030"," 1362","   48","    9","  308"," 1242"," 1682"," 2901"," 4084","   26","    8","  208","  723","  963"," 1557"," 1616","   22","    1","  100","  519","  719"," 1344"," 2468","  502"," 1381"," 1027","  898"," 1096"," 1091","  949"," 1539"," 1103","  666"
"   47","43063","10621"," 9861"," 1319","   50","   20","  310"," 1308"," 1728"," 2962"," 4234","   24","   11","  220","  763"," 1016"," 1596"," 1624","   26","    9","   90","  545","  712"," 1366"," 2610","  550"," 1419"," 1089","  862"," 1080"," 1148"," 1038"," 1623"," 1151","  639"
"   48","43070","10538"," 9858"," 1436","   56","   21","  295"," 1216"," 1737"," 2945"," 4266","   33","   10","  200","  735","  991"," 1585"," 1633","   23","   11","   95","  481","  746"," 1360"," 2633","  562"," 1453"," 1045","  878"," 1065"," 1168","  972"," 1608"," 1123","  636"
"   49","43077","10781","10322"," 1497","   58","   20","  268"," 1224"," 1761"," 3027"," 4423","   38","   13","  168","  760"," 1029"," 1619"," 1736","   20","    7","  100","  464","  732"," 1408"," 2687","  612"," 1538"," 1013","  970"," 1066"," 1139"," 1008"," 1649"," 1140","  630"
"   50","43084","11217","10353"," 1603","   39","   19","  267"," 1282"," 1776"," 3176"," 4658","   23","   10","  173","  753"," 1048"," 1690"," 1791","   16","    9","   94","  529","  728"," 1486"," 2867","  595"," 1509"," 1048","  971"," 1128"," 1226"," 1042"," 1765"," 1204","  708"
"   51","43091","12517","11130"," 1905","   52","   20","  307"," 1397"," 1995"," 3523"," 5220","   25","   10","  188","  849"," 1114"," 1796"," 2004","   27","   10","  119","  548","  881"," 1727"," 3216","  719"," 1709"," 1181"," 1039"," 1318"," 1322"," 1153"," 1961"," 1332","  762"
"   52","43098"," 8487"," 7831"," 1431","   23","   18","  172","  895"," 1275"," 2444"," 3654","   15","   12","   97","  529","  665"," 1289"," 1410","    8","    6","   75","  366","  610"," 1155"," 2244","  500"," 1194","  840","  685","  844","  878","  814"," 1305","  863","  541"
