"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"   11.0","40984.0","10041.0"," 9908.6"," 1610.0","   58.0","   18.0","  270.0"," 1238.0"," 1485.0"," 2990.0"," 3982.0","   35.0","   13.0","  165.0","  741.0","  867.0"," 1551.0"," 1444.0","   23.0","    5.0","  105.0","  497.0","  618.0"," 1439.0"," 2538.0","  478.0"," 1300.0"," 1031.0","  867.0","  985.0"," 1065.0"," 1002.0"," 1645.0"," 1043.0","  610.0"
"   12.0","40991.0"," 9864.0"," 9459.2"," 1536.0","   67.0","   34.0","  296.0"," 1256.0"," 1526.0"," 2877.0"," 3806.0","   40.0","   17.0","  193.0","  738.0","  893.0"," 1476.0"," 1378.0","   27.0","   17.0","  103.0","  518.0","  633.0"," 1401.0"," 2428.0","  507.0"," 1315.0","  985.0","  804.0","  961.0"," 1094.0","  941.0"," 1545.0"," 1052.0","  637.0"
"   13.0","40998.0"," 9634.0"," 9392.4"," 1415.0","   61.0","   21.0","  290.0"," 1170.0"," 1541.0"," 2769.0"," 3779.0","   39.0","   13.0","  197.0","  711.0","  885.0"," 1421.0"," 1382.0","   22.0","    8.0","   93.0","  459.0","  656.0"," 1348.0"," 2397.0","  487.0"," 1363.0","  892.0","  830.0","  935.0"," 1036.0","  935.0"," 1516.0"," 1029.0","  593.0"
"   14","41005"," 8520"," 9643"," 1234","   50","   23","  301"," 1072"," 1314"," 2478"," 3281","   32","   12","  192","  642","  788"," 1295"," 1152","   18","   11","  109","  430","  526"," 1183"," 2129","  450"," 1181","  827","  739","  827","  880","  817"," 1326","  857","  596"
"   15.0","41012.0"," 9992.0"," 9693.6"," 1498.0","   65.0","   26.0","  278.0"," 1155.0"," 1639.0"," 2959.0"," 3870.0","   35.0","   15.0","  178.0","  659.0","  978.0"," 1509.0"," 1375.0","   30.0","   11.0","  100.0","  496.0","  661.0"," 1450.0"," 2495.0","  512.0"," 1445.0","  969.0","  829.0","  972.0"," 1097.0","  967.0"," 1488.0"," 1030.0","  662.0"
"   16.0","41019.0","10816.0"," 9643.6"," 1633.0","   72.0","   18.0","  306.0"," 1313.0"," 1732.0"," 3231.0"," 4135.0","   46.0","   12.0","  175.0","  783.0","  981.0"," 1663.0"," 1505.0","   26.0","    6.0","  131.0","  530.0","  751.0"," 1568.0"," 2630.0","  584.0"," 1496.0"," 1034.0","  913.0"," 1136.0"," 1153.0","  977.0"," 1673.0"," 1183.0","  644.0"
"   17","41026","10238"," 9454"," 1491","   60","   21","  288"," 1227"," 1607"," 2986"," 4048","   34","   12","  177","  713","  961"," 1583"," 1416","   26","    9","  111","  514","  646"," 1403"," 2632","  556"," 1306"," 1024","  879"," 1051"," 1108","  942"," 1597"," 1092","  655"
"   18","41033"," 9957"," 9375"," 1488","   60","   25","  301"," 1171"," 1615"," 2936"," 3847","   32","   14","  200","  686","  952"," 1502"," 1347","   28","   11","  101","  485","  663"," 1434"," 2500","  538"," 1392","  964","  852"," 1070"," 1066","  903"," 1487"," 1051","  609"
"   19","41040"," 8868"," 9085"," 1304","   54","   16","  241"," 1063"," 1370"," 2652"," 3461","   36","    5","  137","  635","  802"," 1374"," 1250","   18","   11","  104","  428","  568"," 1278"," 2211","  441"," 1255","  820","  786","  876","  950","  844"," 1378","  909","  590"
"   20.0","41047.0"," 9913.0"," 9271.8"," 1441.0","   67.0","   23.0","  306.0"," 1212.0"," 1643.0"," 2891.0"," 3761.0","   40.0","   13.0","  205.0","  713.0","  967.0"," 1496.0"," 1394.0","   27.0","   10.0","  101.0","  499.0","  676.0"," 1395.0"," 2367.0","  505.0"," 1347.0"," 1012.0","  805.0"," 1090.0"," 1027.0","  907.0"," 1457.0"," 1094.0","  636.0"
"   21","41054"," 9602"," 9275"," 1256","   58","   26","  273"," 1177"," 1622"," 2839"," 3607","   37","   16","  175","  701","  937"," 1474"," 1259","   21","   10","   98","  476","  685"," 1365"," 2348","  505"," 1383","  933","  747","  965"," 1007","  924"," 1497"," 1019","  603"
"   22.0","41061.0"," 9602.0"," 8223.2"," 1330.0","   60.0","   23.0","  303.0"," 1190.0"," 1542.0"," 2873.0"," 3606.0","   34.0","   13.0","  209.0","  718.0","  862.0"," 1538.0"," 1250.0","   26.0","   10.0","   94.0","  472.0","  680.0"," 1335.0"," 2356.0","  514.0"," 1310.0","  978.0","  783.0","  945.0"," 1026.0","  888.0"," 1478.0"," 1051.0","  605.0"
"   23.0","41068.0"," 6781.0"," 9240.2","  889.0","   42.0","    9.0","  185.0","  846.0"," 1130.0"," 2021.0"," 2548.0","   20.0","    6.0","   98.0","  485.0","  649.0"," 1030.0","  915.0","   22.0","    3.0","   87.0","  361.0","  481.0","  991.0"," 1633.0","  362.0","  984.0","  714.0","  557.0","  647.0","  660.0","  663.0","  953.0","  733.0","  489.0"
"   24.0","41075.0","10170.0"," 8878.4"," 1401.0","   80.0","   16.0","  300.0"," 1217.0"," 1794.0"," 3063.0"," 3700.0","   42.0","    6.0","  197.0","  712.0"," 1034.0"," 1602.0"," 1354.0","   38.0","   10.0","  103.0","  505.0","  760.0"," 1461.0"," 2346.0","  539.0"," 1360.0"," 1000.0","  853.0"," 1116.0"," 1082.0","  961.0"," 1515.0"," 1090.0","  630.0"
"   25.0","41082.0"," 9054.0"," 8750.4"," 1168.0","   53.0","   17.0","  289.0"," 1147.0"," 1527.0"," 2658.0"," 3363.0","   21.0","    5.0","  190.0","  674.0","  862.0"," 1370.0"," 1229.0","   32.0","   12.0","   99.0","  473.0","  665.0"," 1288.0"," 2134.0","  482.0"," 1255.0","  861.0","  757.0","  960.0","  942.0","  827.0"," 1441.0","  950.0","  559.0"
"   26.0","41089.0"," 8856.0"," 8718.2"," 1109.0","   56.0","   16.0","  256.0"," 1130.0"," 1464.0"," 2594.0"," 3339.0","   33.0","    9.0","  168.0","  677.0","  847.0"," 1363.0"," 1238.0","   23.0","    7.0","   88.0","  453.0","  617.0"," 1231.0"," 2101.0","  508.0"," 1203.0","  894.0","  810.0","  896.0","  931.0","  835.0"," 1297.0","  955.0","  509.0"
"   27","41096"," 8909"," 8764"," 1107","   64","   17","  266"," 1098"," 1521"," 2633"," 3306","   41","   12","  192","  645","  898"," 1362"," 1188","   23","    5","   74","  453","  623"," 1271"," 2118","  478"," 1184","  923","  738","  927","  975","  796"," 1365","  933","  573"
"   28","41103"," 8754"," 8577"," 1098","   57","   16","  260"," 1123"," 1493"," 2571"," 3233","   31","    6","  180","  657","  880"," 1338"," 1217","   26","   10","   80","  466","  613"," 1233"," 2016","  441"," 1218","  828","  738","  898","  944","  865"," 1254","  973","  572"
"   29.0","41110.0"," 8684.0"," 8489.2"," 1025.0","   47.0","   26.0","  292.0"," 1124.0"," 1495.0"," 2538.0"," 3162.0","   29.0","   15.0","  182.0","  676.0","  854.0"," 1255.0"," 1192.0","   18.0","   11.0","  110.0","  448.0","  641.0"," 1283.0"," 1970.0","  459.0"," 1217.0","  889.0","  730.0","  909.0","  815.0","  827.0"," 1311.0","  943.0","  567.0"
"   30.0","41117.0"," 8877.0"," 8549.4"," 1125.0","   69.0","   15.0","  283.0"," 1157.0"," 1500.0"," 2557.0"," 3295.0","   40.0","    7.0","  194.0","  673.0","  896.0"," 1326.0"," 1177.0","   29.0","    8.0","   89.0","  484.0","  604.0"," 1231.0"," 2118.0","  496.0"," 1204.0","  937.0","  718.0","  896.0","  930.0","  872.0"," 1291.0","  946.0","  558.0"
"   31","41124"," 8942"," 8594"," 1143","   56","   13","  271"," 1153"," 1527"," 2590"," 3331","   31","    8","  178","  675","  893"," 1331"," 1147","   25","    5","   93","  478","  634"," 1259"," 2184","  480"," 1212","  844","  767","  868","  964","  829"," 1401","  971","  576"
"   32.0","41131.0"," 8810.0"," 8546.8"," 1068.0","   70.0","   38.0","  249.0"," 1124.0"," 1447.0"," 2564.0"," 3316.0","   43.0","   19.0","  158.0","  677.0","  850.0"," 1339.0"," 1213.0","   27.0","   19.0","   91.0","  447.0","  597.0"," 1225.0"," 2103.0","  469.0"," 1215.0","  871.0","  746.0","  935.0","  889.0","  808.0"," 1336.0","  968.0","  548.0"
"   33.0","41138.0"," 8776.0"," 8552.2"," 1048.0","   54.0","   14.0","  268.0"," 1108.0"," 1446.0"," 2611.0"," 3274.0","   21.0","    9.0","  167.0","  654.0","  844.0"," 1354.0"," 1190.0","   33.0","    5.0","  101.0","  454.0","  602.0"," 1257.0"," 2084.0","  452.0"," 1138.0","  872.0","  707.0","  909.0","  962.0","  807.0"," 1335.0","  962.0","  604.0"
"   34","41145"," 8977"," 8577"," 1083","   62","   19","  283"," 1144"," 1515"," 2618"," 3336","   28","    8","  160","  690","  928"," 1329"," 1200","   34","   11","  123","  454","  587"," 1289"," 2136","  460"," 1211","  917","  749","  937"," 1001","  844"," 1342","  936","  553"
"   35","41152"," 7617"," 7901","  880","   62","   13","  243","  952"," 1293"," 2288"," 2766","   36","    8","  155","  576","  767"," 1211"," 1029","   26","    5","   88","  376","  526"," 1077"," 1737","  397"," 1075","  793","  634","  812","  790","  734"," 1088","  793","  478"
"   36.0","41159.0"," 8848.0"," 8593.2","  982.0","   62.0","   20.0","  243.0"," 1164.0"," 1418.0"," 2596.0"," 3345.0","   36.0","   17.0","  155.0","  671.0","  830.0"," 1328.0"," 1198.0","   26.0","    3.0","   88.0","  493.0","  588.0"," 1268.0"," 2147.0","  450.0"," 1233.0","  853.0","  764.0","  954.0","  933.0","  829.0"," 1304.0","  974.0","  534.0"
"   37.0","41166.0"," 8641.0"," 8669.8"," 1031.0","   63.0","   19.0","  259.0"," 1106.0"," 1476.0"," 2486.0"," 3231.0","   31.0","   13.0","  181.0","  688.0","  893.0"," 1301.0"," 1228.0","   32.0","    6.0","   78.0","  418.0","  583.0"," 1185.0"," 2003.0","  475.0"," 1178.0","  940.0","  735.0","  897.0","  858.0","  799.0"," 1319.0","  902.0","  511.0"
"   38.0","41173.0"," 8839.0"," 8687.8"," 1065.0","   56.0","   15.0","  319.0"," 1173.0"," 1474.0"," 2548.0"," 3253.0","   27.0","    7.0","  209.0","  713.0","  840.0"," 1338.0"," 1166.0","   29.0","    8.0","  110.0","  460.0","  634.0"," 1210.0"," 2087.0","  518.0"," 1268.0","  882.0","  725.0","  878.0","  893.0","  811.0"," 1305.0","  997.0","  538.0"
"   39.0","41180.0"," 8865.0"," 8864.4"," 1082.0","   59.0","   16.0","  246.0"," 1094.0"," 1495.0"," 2624.0"," 3330.0","   37.0","   13.0","  147.0","  642.0","  920.0"," 1393.0"," 1217.0","   22.0","    3.0","   99.0","  452.0","  575.0"," 1231.0"," 2113.0","  468.0"," 1223.0","  891.0","  712.0","  902.0","  918.0","  830.0"," 1343.0","  942.0","  615.0"
"   40.0","41187.0"," 9070.0"," 8954.6"," 1151.0","   66.0","   16.0","  234.0"," 1122.0"," 1508.0"," 2639.0"," 3483.0","   37.0","   13.0","  153.0","  670.0","  896.0"," 1411.0"," 1296.0","   29.0","    3.0","   81.0","  452.0","  612.0"," 1228.0"," 2187.0","  471.0"," 1299.0","  858.0","  714.0","  914.0","  920.0","  855.0"," 1455.0","  997.0","  561.0"
"   41.0","41194.0"," 9441.0"," 9030.4"," 1161.0","   52.0","   11.0","  270.0"," 1162.0"," 1489.0"," 2821.0"," 3636.0","   27.0","    4.0","  176.0","  692.0","  858.0"," 1429.0"," 1310.0","   25.0","    7.0","   94.0","  470.0","  631.0"," 1392.0"," 2326.0","  467.0"," 1298.0","  940.0","  765.0","  965.0","  987.0","  887.0"," 1475.0"," 1022.0","  613.0"
"   42.0","41201.0"," 9284.0"," 9146.2"," 1192.0","   57.0","   24.0","  245.0"," 1120.0"," 1535.0"," 2750.0"," 3553.0","   39.0","   16.0","  159.0","  644.0","  910.0"," 1441.0"," 1283.0","   18.0","    8.0","   86.0","  476.0","  625.0"," 1309.0"," 2270.0","  510.0"," 1277.0","  901.0","  791.0","  883.0"," 1018.0","  897.0"," 1443.0"," 1003.0","  543.0"
"   43","41208"," 9550"," 9311"," 1288","   49","   31","  280"," 1149"," 1490"," 2842"," 3709","   27","   15","  182","  689","  868"," 1462"," 1373","   22","   16","   98","  460","  622"," 1380"," 2336","  503"," 1355","  948","  794","  990","  970","  920"," 1480"," 1001","  574"
"   44.0","41215.0"," 9335.0"," 9540.2"," 1233.0","   63.0","   21.0","  284.0"," 1158.0"," 1579.0"," 2666.0"," 3563.0","   35.0","   13.0","  181.0","  661.0","  919.0"," 1335.0"," 1266.0","   28.0","    8.0","  103.0","  497.0","  660.0"," 1331.0"," 2297.0","  459.0"," 1348.0","  928.0","  753.0","  951.0","  973.0","  898.0"," 1393.0","  998.0","  609.0"
"   45.0","41222.0"," 9683.0"," 9478.6"," 1306.0","   66.0","   25.0","  304.0"," 1172.0"," 1556.0"," 2813.0"," 3746.0","   38.0","   15.0","  193.0","  696.0","  887.0"," 1483.0"," 1364.0","   28.0","   10.0","  111.0","  476.0","  669.0"," 1330.0"," 2382.0","  459.0"," 1348.0","  928.0","  753.0","  951.0","  973.0","  898.0"," 1393.0","  998.0","  609.0"
"   46.0","41229.0"," 9900.0"," 9551.4"," 1354.0","   69.0","   19.0","  288.0"," 1197.0"," 1576.0"," 2863.0"," 3888.0","   37.0","   10.0","  188.0","  725.0","  910.0"," 1480.0"," 1444.0","   32.0","    9.0","  100.0","  472.0","  666.0"," 1383.0"," 2444.0","  507.0"," 1370.0","  954.0","  763.0"," 1000.0"," 1007.0","  926.0"," 1539.0"," 1015.0","  586.0"
"   47.0","41236.0"," 9679.0"," 9640.2"," 1320.0","   70.0","   18.0","  307.0"," 1203.0"," 1522.0"," 2765.0"," 3783.0","   42.0","    6.0","  206.0","  722.0","  894.0"," 1458.0"," 1412.0","   28.0","   12.0","  101.0","  481.0","  628.0"," 1307.0"," 2371.0","  550.0"," 1276.0"," 1017.0","  836.0"," 1022.0"," 1011.0","  987.0"," 1496.0"," 1074.0","  608.0"
"   48.0","41243.0"," 9394.0"," 9579.6"," 1305.0","   58.0","   19.0","  268.0"," 1136.0"," 1551.0"," 2826.0"," 3532.0","   30.0","    8.0","  172.0","  693.0","  905.0"," 1507.0"," 1285.0","   28.0","   11.0","   96.0","  443.0","  646.0"," 1319.0"," 2247.0","  539.0"," 1236.0","  929.0","  794.0","  999.0"," 1059.0","  956.0"," 1483.0"," 1031.0","  629.0"
"   49.0","41250.0"," 9844.0","10335.8"," 1368.0","   71.0","   32.0","  283.0"," 1219.0"," 1575.0"," 2888.0"," 3774.0","   38.0","   18.0","  185.0","  753.0","  921.0"," 1519.0"," 1370.0","   33.0","   14.0","   98.0","  466.0","  654.0"," 1369.0"," 2404.0","  492.0"," 1321.0","  897.0","  765.0","  958.0","  971.0","  901.0"," 1415.0","  983.0","  668.0"
"   50.0","41257.0","10388.0","10587.4"," 1540.0","   60.0","   23.0","  334.0"," 1213.0"," 1628.0"," 3060.0"," 4068.0","   39.0","   11.0","  221.0","  692.0","  947.0"," 1589.0"," 1539.0","   21.0","   12.0","  113.0","  521.0","  681.0"," 1471.0"," 2529.0","  543.0"," 1330.0"," 1017.0","  827.0"," 1014.0"," 1003.0","  899.0"," 1492.0"," 1048.0","  650.0"
"   51","41264","11461","11179"," 1783","   56","   23","  306"," 1315"," 1823"," 3343"," 4585","   33","   14","  219","  732"," 1043"," 1731"," 1655","   23","    9","   87","  583","  780"," 1612"," 2930","  584"," 1433","  977","  869"," 1085"," 1062","  986"," 1610"," 1017","  744"
"   52.0","41271.0"," 8096.0"," 8938.8"," 1407.0","   40.0","   15.0","  200.0","  817.0"," 1240.0"," 2397.0"," 3387.0","   24.0","    7.0","  112.0","  477.0","  738.0"," 1226.0"," 1204.0","   16.0","    8.0","   88.0","  340.0","  502.0"," 1171.0"," 2183.0","  421.0"," 1174.0","  845.0","  696.0","  792.0","  809.0","  792.0"," 1179.0","  821.0","  552.0"
