"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"   13","43189"," 9941"," 9944"," 1657","   43","   20","  261"," 1065"," 1586"," 2884"," 4082","   21","    7","  179","  674","  921"," 1580"," 1505","   22","   13","   82","  391","  665"," 1304"," 2577","  498"," 1335","  973","  819"," 1019"," 1074","  910"," 1518"," 1047","  633"
"   14","43196","10794","10286"," 1761","   46","   22","  260"," 1229"," 1764"," 3013"," 4460","   28","   13","  167","  718"," 1029"," 1605"," 1699","   18","    9","   93","  511","  735"," 1408"," 2761","  534"," 1470"," 1105","  886"," 1054"," 1196"," 1014"," 1578"," 1142","  730"
"   15","43203","12301","10328"," 1971","   36","   25","  337"," 1382"," 2053"," 3442"," 5026","   19","   14","  220","  812"," 1197"," 1870"," 1974","   17","   11","  117","  570","  856"," 1572"," 3052","  631"," 1613"," 1199"," 1068"," 1228"," 1425"," 1133"," 1883"," 1293","  743"
"   16","43210","11223","10395"," 1641","   54","   21","  301"," 1386"," 1880"," 3109"," 4472","   29","   10","  191","  830"," 1106"," 1678"," 1722","   25","   11","  110","  556","  774"," 1431"," 2750","  559"," 1456"," 1037","  986"," 1170"," 1248"," 1039"," 1743"," 1212","  688"
"   17","43217","10306","10381"," 1426","   57","   12","  340"," 1213"," 1707"," 2906"," 4071","   32","    6","  227","  731","  980"," 1522"," 1566","   25","    6","  113","  482","  727"," 1384"," 2505","  516"," 1391","  987","  904","  969"," 1209","  947"," 1613"," 1117","  614"
"   18","43224","10153"," 9807"," 1369","   51","   21","  308"," 1363"," 1725"," 2907"," 3778","   29","   14","  201","  815"," 1008"," 1539"," 1511","   22","    7","  107","  548","  717"," 1368"," 2267","  534"," 1347","  922","  892"," 1113"," 1117","  917"," 1570"," 1082","  633"
"   19","43231"," 8624"," 9526"," 1055","   48","   21","  247"," 1115"," 1437"," 2384"," 3372","   26","   12","  163","  648","  841"," 1280"," 1343","   22","    9","   84","  467","  596"," 1104"," 2029","  510"," 1116","  886","  740","  823","  937","  841"," 1294","  929","  530"
"   20","43238","10141"," 9978"," 1248","   52","   24","  300"," 1330"," 1760"," 2791"," 3884","   29","   16","  205","  791"," 1017"," 1509"," 1543","   23","    8","   95","  539","  743"," 1282"," 2341","  504"," 1390","  888","  943"," 1105"," 1125","  913"," 1511"," 1068","  667"
"   21","43245"," 9636"," 9727"," 1179","   60","   13","  294"," 1258"," 1659"," 2687"," 3665","   33","    8","  170","  731","  994"," 1431"," 1509","   27","    5","  124","  527","  665"," 1256"," 2156","  501"," 1278","  913","  828","  983"," 1053","  932"," 1512","  997","  603"
"   22","43252"," 8147"," 8163"," 1065","   46","   18","  250","  998"," 1431"," 2330"," 3074","   27","   14","  171","  581","  845"," 1259"," 1210","   19","    4","   79","  417","  586"," 1071"," 1864","  458"," 1142","  769","  716","  859","  839","  784"," 1187","  830","  538"
"   23","43259"," 9950"," 9767"," 1270","   46","   19","  298"," 1195"," 1700"," 2881"," 3811","   32","    9","  193","  723","  968"," 1510"," 1524","   14","   10","  105","  472","  732"," 1371"," 2287","  548"," 1309","  985","  884"," 1065"," 1157","  890"," 1435"," 1057","  607"
"   24","43266"," 9343"," 9313"," 1150","   60","   17","  286"," 1199"," 1607"," 2670"," 3504","   33","    7","  182","  698","  949"," 1479"," 1368","   27","   10","  104","  501","  658"," 1191"," 2136","  454"," 1167","  947","  777","  967","  991","  921"," 1442"," 1085","  561"
"   25","43273"," 9256"," 9232"," 1103","   55","   21","  308"," 1161"," 1613"," 2550"," 3548","   27","   13","  203","  696","  994"," 1382"," 1447","   28","    8","  105","  465","  619"," 1168"," 2101","  475"," 1217","  944","  764","  971","  985","  855"," 1448"," 1019","  562"
"   26","43280"," 9212"," 9052"," 1055","   43","   22","  306"," 1184"," 1652"," 2508"," 3497","   23","   15","  193","  726","  936"," 1346"," 1393","   20","    7","  113","  458","  716"," 1162"," 2104","  484"," 1214","  882","  822","  954"," 1011","  824"," 1408","  983","  599"
"   27","43287"," 9258"," 9030"," 1086","   50","   23","  286"," 1150"," 1548"," 2611"," 3590","   26","   15","  181","  697","  892"," 1418"," 1443","   24","    8","  105","  453","  656"," 1193"," 2147","  477"," 1280","  895","  788","  998","  940","  814"," 1426","  991","  625"
"   28","43294"," 9293"," 9018"," 1123","   48","   21","  304"," 1140"," 1600"," 2633"," 3547","   25","   15","  204","  677","  957"," 1421"," 1388","   23","    6","  100","  463","  643"," 1212"," 2159","  470"," 1239","  901","  758","  961","  993","  941"," 1403"," 1025","  583"
"   29","43301"," 9127"," 9032"," 1107","   45","   15","  304"," 1166"," 1577"," 2484"," 3536","   28","    8","  187","  703","  925"," 1333"," 1455","   17","    7","  117","  463","  652"," 1151"," 2081","  471"," 1229","  942","  730","  949","  953","  905"," 1373","  971","  548"
"   30","43308"," 9141"," 8890"," 1019","   59","   13","  291"," 1193"," 1566"," 2628"," 3391","   36","   10","  197","  727","  922"," 1417"," 1277","   23","    3","   94","  466","  644"," 1211"," 2114","  477"," 1219","  907","  762","  897"," 1008","  955"," 1374","  941","  560"
"   31","43315"," 9161"," 8763"," 1005","   62","   18","  286"," 1155"," 1536"," 2620"," 3484","   33","   12","  190","  685","  863"," 1357"," 1388","   29","    6","   96","  470","  673"," 1263"," 2096","  486"," 1228","  817","  830","  961"," 1010","  883"," 1396","  957","  574"
"   32","43322"," 9319"," 8818"," 1019","   59","   18","  328"," 1175"," 1608"," 2563"," 3568","   30","   11","  237","  725","  960"," 1439"," 1378","   29","    7","   91","  450","  648"," 1124"," 2190","  448"," 1231","  913","  793","  946"," 1028","  947"," 1453","  997","  537"
"   33","43329"," 8830"," 8905","  941","   64","   11","  253"," 1130"," 1558"," 2489"," 3325","   38","    7","  161","  669","  918"," 1311"," 1339","   26","    4","   92","  461","  640"," 1178"," 1986","  446"," 1171","  880","  742","  910","  991","  870"," 1361","  902","  518"
"   34","43336"," 8978"," 9033","  921","   44","   22","  250"," 1083"," 1601"," 2560"," 3418","   30","    8","  165","  659","  901"," 1381"," 1365","   14","   14","   85","  424","  700"," 1179"," 2053","  477"," 1134","  913","  780","  983","  993","  808"," 1392","  900","  565"
"   35","43343"," 7865"," 8162","  827","   51","   11","  233"," 1017"," 1442"," 2150"," 2961","   30","    8","  151","  575","  815"," 1123"," 1177","   21","    3","   82","  442","  627"," 1027"," 1784","  437"," 1058","  779","  630","  793","  877","  741"," 1170","  845","  511"
"   36","43350"," 9445"," 9069"," 1098","   45","   20","  323"," 1196"," 1621"," 2638"," 3602","   27","    9","  194","  709","  985"," 1361"," 1475","   18","   11","  129","  487","  636"," 1277"," 2127","  534"," 1152","  956","  804"," 1005","  996","  904"," 1464"," 1000","  594"
"   37","43357"," 9191"," 9091","  999","   55","   18","  275"," 1180"," 1600"," 2576"," 3487","   29","    9","  179","  722","  922"," 1353"," 1387","   26","    9","   96","  458","  678"," 1223"," 2100","  465"," 1231","  865","  814","  956","  999","  834"," 1440","  986","  579"
"   38","43364"," 9305"," 9063"," 1034","   69","   18","  292"," 1171"," 1623"," 2601"," 3531","   42","   11","  179","  709","  945"," 1373"," 1431","   27","    7","  113","  462","  678"," 1228"," 2100","  475"," 1226","  912","  776","  947","  990","  865"," 1503","  986","  598"
"   39","43371"," 9150"," 9285","  987","   50","   10","  270"," 1083"," 1607"," 2629"," 3501","   29","    6","  184","  652","  929"," 1443"," 1397","   21","    4","   86","  431","  678"," 1186"," 2104","  483"," 1262","  904","  766","  965","  957","  868"," 1375","  965","  560"
"   40","43378"," 9503"," 9388"," 1050","   40","   17","  287"," 1200"," 1627"," 2696"," 3636","   16","    7","  173","  709","  965"," 1461"," 1443","   24","   10","  114","  491","  662"," 1235"," 2193","  514"," 1302","  948","  781"," 1020","  990","  898"," 1387"," 1020","  595"
"   41","43385"," 9649"," 9511"," 1124","   47","   20","  328"," 1212"," 1607"," 2741"," 3694","   23","   14","  229","  699","  987"," 1451"," 1437","   24","    6","   99","  513","  620"," 1290"," 2257","  486"," 1291","  963","  832","  980"," 1071","  860"," 1491"," 1043","  606"
"   42","43392"," 9864"," 9602"," 1141","   43","   18","  301"," 1209"," 1654"," 2769"," 3870","   26","   14","  195","  760","  965"," 1493"," 1549","   17","    4","  106","  449","  689"," 1276"," 2321","  527"," 1274","  968","  815","  979"," 1045","  941"," 1570"," 1088","  640"
"   43","43399"," 9603"," 9601"," 1154","   65","   24","  309"," 1200"," 1657"," 2642"," 3706","   34","   15","  202","  702","  953"," 1474"," 1466","   31","    9","  107","  498","  704"," 1168"," 2240","  526"," 1215","  956","  880"," 1079","  993","  905"," 1376"," 1004","  633"
"   44","43406"," 9529"," 9692"," 1090","   46","   24","  289"," 1151"," 1569"," 2700"," 3750","   27","   15","  192","  677","  937"," 1448"," 1530","   19","    9","   97","  474","  632"," 1252"," 2220","  511"," 1330","  964","  810","  890"," 1042","  896"," 1465","  988","  604"
"   45","43413","10151","10003"," 1295","   44","   12","  308"," 1157"," 1666"," 2949"," 4015","   24","    7","  195","  687","  971"," 1589"," 1549","   20","    5","  113","  470","  695"," 1360"," 2466","  520"," 1403","  981","  813"," 1081"," 1094","  925"," 1543"," 1106","  642"
"   46","43420","10193","10104"," 1268","   47","   29","  292"," 1238"," 1716"," 2819"," 4052","   24","   15","  196","  734","  986"," 1519"," 1684","   23","   14","   96","  504","  730"," 1300"," 2368","  490"," 1408","  969","  899"," 1047"," 1128","  940"," 1538"," 1077","  656"
"   47","43427"," 9957","10050"," 1240","   62","   22","  312"," 1223"," 1700"," 2766"," 3872","   35","    8","  197","  700","  982"," 1455"," 1568","   27","   14","  115","  523","  718"," 1311"," 2304","  511"," 1357"," 1013","  848"," 1001"," 1071","  903"," 1503"," 1062","  657"
"   48","43434","10033","10087"," 1224","   58","   20","  317"," 1246"," 1658"," 2829"," 3905","   32","    5","  205","  733","  953"," 1504"," 1531","   26","   15","  112","  513","  705"," 1325"," 2374","  505"," 1330","  998","  838"," 1076"," 1077","  948"," 1523"," 1040","  673"
"   49","43441","10287","10509"," 1341","   45","   15","  326"," 1218"," 1696"," 2965"," 4022","   24","    9","  220","  701","  991"," 1573"," 1532","   21","    6","  106","  517","  705"," 1392"," 2490","  539"," 1377"," 1006","  830"," 1098"," 1106","  958"," 1594"," 1076","  674"
"   50","43448","10550","10519"," 1386","   51","   13","  295"," 1265"," 1814"," 2962"," 4150","   26","    9","  190","  747"," 1057"," 1576"," 1598","   25","    4","  105","  518","  757"," 1386"," 2552","  561"," 1422"," 1108","  873"," 1034"," 1130"," 1007"," 1573"," 1106","  708"
"   51","43455","11116","11343"," 1509","   41","   23","  333"," 1306"," 1867"," 3136"," 4410","   24","   15","  222","  810"," 1112"," 1680"," 1708","   17","    8","  111","  496","  755"," 1456"," 2702","  625"," 1439"," 1148","  930"," 1145"," 1124"," 1035"," 1688"," 1225","  724"
"   52","43462"," 7131"," 7909"," 1053","   22","   11","  166","  792"," 1205"," 2013"," 2922","   10","    7","  103","  450","  694"," 1051"," 1146","   12","    4","   63","  342","  511","  962"," 1776","  459"," 1020","  688","  651","  660","  695","  655"," 1062","  756","  461"
